#,시군구명,소재지,면적,용도지역1,이용상황,주위환경,지세명,공시지가,X,Y
13052,노원구, 상계동 138-72,286,제2종일반주거지역,다세대,일반 주택지대,평지,2270000,127.071215,37.664855
13053,노원구, 상계동 138-80,145,제2종일반주거지역,단독주택,일반 주택지대,평지,2080000,127.072584,37.665037
13054,노원구, 상계동 138-98,127,제2종일반주거지역,주상용,일반 주택지대,평지,2800000,127.071631,37.665111
13055,노원구, 상계동 138-125,145,제2종일반주거지역,단독주택,일반 주택지대,평지,2070000,127.071474,37.665894
13056,노원구, 상계동 138-140,176,제2종일반주거지역,단독주택,일반 주택지대,평지,2210000,127.071786,37.6654
13057,노원구, 상계동 140-59,83,제2종일반주거지역,주거나지,주택재개발 예정지대,평지,2810000,127.075071,37.66466
13058,노원구, 상계동 140-134,79,제2종일반주거지역,단독주택,기존 주택지대,평지,1980000,127.072119,37.664133
13059,노원구, 상계동 140-146,109,제2종일반주거지역,주상용,주택 및 상가혼용지대,평지,3540000,127.073848,37.664588
13060,노원구, 상계동 140-195,146,제2종일반주거지역,주상용,노선 상가지대,평지,3240000,127.074444,37.664025
13061,노원구, 상계동 140-197,88,제2종일반주거지역,단독주택,일반 주택지대,평지,2120000,127.074261,37.664158
13062,노원구, 상계동 140-231,83,제2종일반주거지역,주상용,주택 및 상가혼용지대,평지,2740000,127.073494,37.663873
13063,노원구, 상계동 140-274,286,제3종일반주거지역,상업용,주택 및 상가혼용지대,평지,3550000,127.076248,37.666616
13064,노원구, 상계동 143-13,165,제2종일반주거지역,주상용,주택 및 상가혼용지대,평지,2780000,127.07057,37.664706
13065,노원구, 상계동 143-40,133,제2종일반주거지역,주상용,주택 및 상가혼용지대,평지,2760000,127.071482,37.664281
13066,노원구, 상계동 145-7,252,제2종일반주거지역,주상용,주택 및 상가혼용지대,평지,2660000,127.070465,37.664084
13067,노원구, 상계동 146-4,558,제2종일반주거지역,연립주택,일반 주택지대,평지,2150000,127.069969,37.664791
13068,노원구, 상계동 149-9,292,제2종일반주거지역,다세대,기존 주택지대,평지,1820000,127.06975,37.664105
